NaftaliBennett,3,4
NaftaliBennett,3,7
NaftaliBennett,4,6
NaftaliBennett,5,7
NaftaliBennett,0,2
NaftaliBennett,0,5
NaftaliBennett,1,6
NaftaliBennett,2,5
NaftaliBennett,1,3
NaftaliBennett,4,5
NaftaliBennett,5,6
NaftaliBennett,3,6
NaftaliBennett,0,1
NaftaliBennett,0,7
NaftaliBennett,2,4
NaftaliBennett,1,2
NaftaliBennett,0,4
NaftaliBennett,2,7
NaftaliBennett,1,5
NaftaliBennett,6,7
NaftaliBennett,4,7
NaftaliBennett,3,5
NaftaliBennett,0,3
NaftaliBennett,1,4
NaftaliBennett,0,6
NaftaliBennett,2,3
NaftaliBennett,1,7
NaftaliBennett,2,6
Netanyahu,3,4
Netanyahu,3,7
Netanyahu,4,6
Netanyahu,5,7
Netanyahu,0,2
Netanyahu,0,5
Netanyahu,1,6
Netanyahu,2,5
Netanyahu,1,3
Netanyahu,4,5
Netanyahu,5,6
Netanyahu,3,6
Netanyahu,0,1
Netanyahu,0,7
Netanyahu,2,4
Netanyahu,1,2
Netanyahu,0,4
Netanyahu,2,7
Netanyahu,1,5
Netanyahu,6,7
Netanyahu,4,7
Netanyahu,3,5
Netanyahu,0,3
Netanyahu,1,4
Netanyahu,0,6
Netanyahu,2,3
Netanyahu,1,7
Netanyahu,2,6
YairLapid,3,4
YairLapid,3,7
YairLapid,4,6
YairLapid,5,7
YairLapid,0,2
YairLapid,0,5
YairLapid,1,6
YairLapid,2,5
YairLapid,1,3
YairLapid,4,5
YairLapid,5,6
YairLapid,3,6
YairLapid,0,1
YairLapid,0,7
YairLapid,2,4
YairLapid,1,2
YairLapid,0,4
YairLapid,2,7
YairLapid,1,5
YairLapid,6,7
YairLapid,4,7
YairLapid,3,5
YairLapid,0,3
YairLapid,1,4
YairLapid,0,6
YairLapid,2,3
YairLapid,1,7
YairLapid,2,6
